date,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2014-01-10,1.8,-0.11214470284237715,1.52,120.26,120.43,"Jan 10, 14",119.58,119.72,7994809,7994809,120.034
2014-01-13,0.76,-0.10653377630121812,0.632,121.02,121.04,"Jan 13, 14",120.2,120.27,5877632,5877632,120.5812
2014-01-14,-1.13,-0.114876338132152,-0.934,119.89,121.06,"Jan 14, 14",119.72,120.54,7506301,7506301,120.2295
2014-01-15,-0.23,-0.11657438169066071,-0.192,119.66,119.8099,"Jan 15, 14",119.1126,119.19,5476409,5476409,122.0859
2014-01-16,0.13,-0.11561461794019921,0.109,119.79,119.96,"Jan 16, 14",119.57,119.84,3950105,3950105,119.7596
2014-01-17,1.14,-0.10719822812846057,0.952,120.93,121.02,"Jan 17, 14",120.2,120.35,7926430,7926430,120.6736
2014-01-21,-1.23,-0.11627906976744176,-1.017,119.7,119.97,"Jan 21, 14",119.23,119.23,6765085,6765085,119.647
2014-01-22,-0.51,-0.12004429678848277,-0.426,119.19,119.768,"Jan 22, 14",119.17,119.65,4898314,4898314,119.4797
2014-01-23,2.6,-0.10084902177925421,2.181,121.79,122.02,"Jan 23, 14",120.97,120.97,11038741,11038741,123.7609
2014-01-24,0.5,-0.09715762273901797,0.411,122.29,122.5,"Jan 24, 14",121.55,122.06,8540453,8540453,122.075
2014-01-27,-1.33,-0.10697674418604648,-1.088,120.96,122.06,"Jan 27, 14",120.72,121.65,7533917,7533917,121.35
2014-01-28,-0.01,-0.10705057216685114,-0.008,120.95,121.4,"Jan 28, 14",120.41,121.32,5156327,5156327,120.7999
2014-01-29,1.52,-0.09582871908453297,1.257,122.47,122.51,"Jan 29, 14",121.13,122.19,12262531,12262531,121.9854
2014-01-30,-2.7,-0.11576227390180874,-2.205,119.77,120.22,"Jan 30, 14",119.6001,119.67,8752038,8752038,119.893
2014-01-31,0.32,-0.11339977851605748,0.267,120.09,120.86,"Jan 31, 14",119.46,120.65,7984890,7984890,120.2777
2014-02-03,1.23,-0.10431893687707638,1.024,121.32,122.11,"Feb 3, 14",120.32,120.47,9270176,9270176,121.4265
2014-02-04,-0.33,-0.1067552602436323,-0.272,120.99,121.09,"Feb 4, 14",120.3888,120.41,7029192,7029192,120.6556
2014-02-05,0.3,-0.10454042081949047,0.248,121.29,121.88,"Feb 5, 14",120.73,121.76,6801879,6801879,120.6086
2014-02-06,-0.05,-0.10490956072351418,-0.041,121.24,121.51,"Feb 6, 14",120.78,121.38,4748431,4748431,121.1882
2014-02-07,0.93,-0.0980435585086747,0.767,122.17,122.24,"Feb 7, 14",121.23,121.24,6683018,6683018,122.4723
2014-02-10,0.75,-0.09250645994832032,0.614,122.92,123.16,"Feb 10, 14",122.72,122.8,7937659,7937659,122.9368
2014-02-11,1.44,-0.08187523071243995,1.171,124.36,124.75,"Feb 11, 14",123.36,123.38,11558005,11558005,124.2298
2014-02-12,0.07,-0.08135843484680681,0.056,124.43,124.98,"Feb 12, 14",124.13,124.4,6654131,6654131,124.5847
2014-02-13,1.06,-0.07353266888150604,0.852,125.49,125.6,"Feb 13, 14",124.66,124.7,9263314,9263314,125.2104
2014-02-14,1.66,-0.061277224067921625,1.323,127.15,127.38,"Feb 14, 14",126.75,126.99,11180946,11180946,127.0708
2014-02-18,0.25,-0.059431524547803496,0.197,127.4,127.75,"Feb 18, 14",127.09,127.42,7690800,7690800,127.4738
2014-02-19,-1.13,-0.0677740863787375,-0.887,126.27,127.45,"Feb 19, 14",126.16,127.26,9390584,9390584,131.7171
2014-02-20,1.33,-0.05795496493170908,1.053,127.6,127.75,"Feb 20, 14",126.4,126.75,10578232,10578232,127.0854
2014-02-21,-0.02,-0.0581026208933185,-0.016,127.58,128.07,"Feb 21, 14",127.15,127.57,7306796,7306796,130.166
2014-02-24,1.41,-0.0476928755998522,1.105,128.99,129.07,"Feb 24, 14",128.34,128.51,12116210,12116210,129.9815
2014-02-25,0.22,-0.04606866002214825,0.171,129.21,129.53,"Feb 25, 14",128.57,128.62,5787114,5787114,129.1944
2014-02-26,-1.1,-0.054189737910667966,-0.851,128.11,128.76,"Feb 26, 14",127.42,128.49,7057157,7057157,128.0631
2014-02-27,0.09,-0.053525286083425626,0.07,128.2,128.8,"Feb 27, 14",127.89,128.4,5067646,5067646,128.39
2014-02-28,-0.58,-0.05780730897009956,-0.452,127.62,128.35,"Feb 28, 14",127.15,128.27,10588738,10588738,127.7393
2014-03-03,2.67,-0.03809523809523807,2.092,130.29,130.5856,"Mar 3, 14",129.81,130.0,11741244,11741244,130.2102
2014-03-04,-1.61,-0.049981543004798686,-1.236,128.68,129.24,"Mar 4, 14",128.3236,128.54,6350420,6350420,128.7943
2014-03-05,0.21,-0.04843115540789961,0.163,128.89,129.34,"Mar 5, 14",128.58,128.71,4880728,4880728,129.0106
2014-03-06,1.28,-0.03898117386489481,0.993,130.17,130.47,"Mar 6, 14",129.47,129.71,5417902,5417902,129.991
2014-03-07,-1.08,-0.04695459579180499,-0.83,129.09,129.23,"Mar 7, 14",128.21,128.25,7577498,7577498,129.6212
2014-03-10,0.04,-0.04665928386858615,0.031,129.13,129.61,"Mar 10, 14",128.7804,128.88,4170499,4170499,129.2331
2014-03-11,0.73,-0.04126984126984109,0.565,129.86,130.15,"Mar 11, 14",128.9301,130.01,7295113,7295113,129.6935
2014-03-12,1.9,-0.027242524916943508,1.463,131.76,132.12,"Mar 12, 14",131.39,131.56,11107630,11107630,131.6561
2014-03-13,0.45,-0.023920265780730757,0.342,132.21,132.54,"Mar 13, 14",131.56,131.69,8007721,8007721,132.1095
2014-03-14,0.89,-0.01734957548911033,0.673,133.1,133.69,"Mar 14, 14",132.35,133.68,11949426,11949426,133.0801
2014-03-17,-1.46,-0.02812846068660024,-1.097,131.64,133.22,"Mar 17, 14",131.22,132.73,14630110,14630110,132.5134
2014-03-18,-1.02,-0.03565891472868206,-0.775,130.62,131.27,"Mar 18, 14",130.33,130.39,6424385,6424385,131.0493
2014-03-19,-2.53,-0.05433739387227749,-1.937,128.09,129.68,"Mar 19, 14",127.94,129.55,12932862,12932862,128.3316
2014-03-20,-0.23,-0.05603543743078619,-0.18,127.86,128.41,"Mar 20, 14",127.58,127.78,7690848,7690848,128.0071
2014-03-21,0.61,-0.05153193060169797,0.477,128.47,129.09,"Mar 21, 14",128.41,129.04,7246489,7246489,128.4538
2014-03-24,-2.29,-0.06843853820597993,-1.783,126.18,127.14,"Mar 24, 14",126.03,126.87,13076493,13076493,126.4474
2014-03-25,0.23,-0.06674049464747134,0.182,126.41,126.82,"Mar 25, 14",126.24,126.44,6567962,6567962,126.6332
2014-03-26,-1.0,-0.07412329272794384,-0.791,125.41,126.38,"Mar 26, 14",125.13,126.27,8581634,8581634,125.3934
2014-03-27,-0.82,-0.08017718715393124,-0.654,124.59,125.29,"Mar 27, 14",124.21,125.06,7315310,7315310,124.5485
2014-03-28,-0.03,-0.08039867109634542,-0.024,124.56,124.96,"Mar 28, 14",123.88,124.23,7253673,7253673,124.5155
2014-03-31,-0.95,-0.08741232927279431,-0.763,123.61,124.79,"Mar 31, 14",123.57,124.52,12379151,12379151,124.1158
2014-04-01,-0.22,-0.08903654485049826,-0.178,123.39,123.85,"Apr 1, 14",123.1099,123.71,5998286,5998286,123.4307
2014-04-02,0.93,-0.08217054263565889,0.754,124.32,124.75,"Apr 2, 14",124.19,124.41,4906684,4906684,124.4353
2014-04-03,-0.4,-0.08512366186784782,-0.322,123.92,124.26,"Apr 3, 14",123.59,123.75,3659603,3659603,123.9245
2014-04-04,1.65,-0.07294204503506826,1.332,125.57,125.96,"Apr 4, 14",124.86,125.2,7278979,7278979,125.4482
2014-04-07,-0.66,-0.0778146917681801,-0.526,124.91,125.4725,"Apr 7, 14",124.84,125.07,3969823,3969823,125.0834
2014-04-08,1.18,-0.06910299003322248,0.945,126.09,126.34,"Apr 8, 14",125.9,126.34,6946163,6946163,126.1112
2014-04-09,0.23,-0.06740494647471389,0.182,126.32,126.72,"Apr 9, 14",125.33,125.46,5307863,5307863,126.044
2014-04-10,0.69,-0.06231081579918778,0.546,127.01,127.37,"Apr 10, 14",126.82,126.95,5008847,5008847,127.1213
2014-04-11,-0.08,-0.06290143964562556,-0.063,126.93,127.31,"Apr 11, 14",126.73,127.04,4699538,4699538,129.8519
2014-04-14,0.92,-0.056109265411590954,0.725,127.85,128.25,"Apr 14, 14",127.62,127.8,6680185,6680185,127.8845
2014-04-15,-2.36,-0.07353266888150604,-1.846,125.49,125.7,"Apr 15, 14",124.6,124.79,9970175,9970175,125.2697
2014-04-16,0.05,-0.07316352897748234,0.04,125.54,125.57,"Apr 16, 14",125.03,125.37,4072028,4072028,125.3617
2014-04-17,-0.79,-0.07899593946105567,-0.629,124.75,125.53,"Apr 17, 14",124.57,125.38,5902491,5902491,124.9213
2014-04-21,-0.51,-0.08276116648209668,-0.409,124.24,124.33,"Apr 21, 14",123.76,124.07,6579161,6579161,124.0138
2014-04-22,-0.46,-0.08615725359911398,-0.37,123.78,124.16,"Apr 22, 14",122.92,124.15,6899367,6899367,123.6048
2014-04-23,-0.02,-0.0863049095607234,-0.016,123.76,123.942,"Apr 23, 14",123.38,123.7,3741184,3741184,123.7031
2014-04-24,0.8,-0.08039867109634542,0.646,124.56,125.12,"Apr 24, 14",122.8404,122.87,8755120,8755120,124.2077
2014-04-25,0.87,-0.07397563676633431,0.698,125.43,125.71,"Apr 25, 14",125.07,125.18,7025124,7025124,125.367
2014-04-28,-0.55,-0.07803617571059428,-0.438,124.88,125.34,"Apr 28, 14",124.45,125.3,4898101,4898101,124.8973
2014-04-29,-0.02,-0.07818383167220369,-0.016,124.86,125.38,"Apr 29, 14",124.65,124.95,5241798,5241798,0.0
2014-04-30,-0.64,-0.08290882244370609,-0.513,124.22,125.05,"Apr 30, 14",123.82,124.19,10354278,10354278,124.3636
2014-05-01,-0.42,-0.08600959763750456,-0.338,123.8,123.83,"May 1, 14",123.06,123.17,6687796,6687796,123.4684
2014-05-02,1.26,-0.07670727205610917,1.018,125.06,125.67,"May 2, 14",123.33,123.69,9914822,9914822,124.7292
2014-05-05,1.16,-0.0681432262827611,0.928,126.22,126.63,"May 5, 14",126.0,126.47,5202763,5202763,126.2598
2014-05-06,-0.24,-0.06991509782207446,-0.19,125.98,126.11,"May 6, 14",125.63,126.02,3488007,3488007,125.9246
2014-05-07,-1.81,-0.0832779623477297,-1.437,124.17,125.57,"May 7, 14",123.92,125.52,8471166,8471166,124.6028
2014-05-08,0.0,-0.0832779623477297,0.0,124.17,124.47,"May 8, 14",123.891,124.19,3696147,3696147,124.3216
2014-05-09,-0.07,-0.08379475821336282,-0.056,124.1,124.47,"May 9, 14",123.82,124.39,3119978,3119978,124.1132
2014-05-12,0.84,-0.07759320782576591,0.677,124.94,125.42,"May 12, 14",124.69,125.4,4025958,4025958,125.2973
2014-05-13,-0.34,-0.08010335917312658,-0.272,124.6,125.1,"May 13, 14",124.5,124.79,2643478,2643478,124.7255
2014-05-14,1.21,-0.0711701734957548,0.971,125.81,125.96,"May 14, 14",125.44,125.8,4018583,4018583,125.7368
2014-05-15,-1.04,-0.07884828349944624,-0.827,124.77,125.51,"May 15, 14",124.54,124.77,5862519,5862519,124.9446
2014-05-16,-0.27,-0.08084163898117379,-0.216,124.5,124.77,"May 16, 14",124.29,124.35,4052154,4052154,124.5268
2014-05-19,0.08,-0.080251015134736,0.064,124.58,125.47,"May 19, 14",124.48,125.28,3903200,3903200,124.9447
2014-05-20,0.11,-0.07943890734588403,0.088,124.69,124.91,"May 20, 14",124.09,124.12,3771117,3771117,124.6449
2014-05-21,-0.3,-0.08165374677002576,-0.241,124.39,124.55,"May 21, 14",123.53,124.25,6848002,6848002,124.1083
2014-05-22,0.28,-0.07958656330749345,0.225,124.67,125.24,"May 22, 14",124.535,125.14,3458801,3458801,124.8253
2014-05-23,-0.16,-0.08076781100036902,-0.128,124.51,124.661,"May 23, 14",124.19,124.6,2206288,2206288,124.4583
2014-05-27,-2.66,-0.10040605389442596,-2.136,121.85,123.07,"May 27, 14",121.75,122.98,10905402,10905402,122.2305
2014-05-28,-0.65,-0.10520487264673302,-0.533,121.2,121.7,"May 28, 14",120.92,121.47,6741191,6741191,121.2714
2014-05-29,-0.26,-0.10712440014765591,-0.215,120.94,121.46,"May 29, 14",120.77,120.78,5555563,5555563,120.9955
2014-05-30,-0.51,-0.11088962716869681,-0.422,120.43,120.81,"May 30, 14",119.62,120.76,8753575,8753575,121.5774
2014-06-02,-0.73,-0.11627906976744176,-0.606,119.7,120.4599,"Jun 2, 14",119.61,119.93,5923679,5923679,119.9099
2014-06-03,0.31,-0.11399040236249527,0.259,120.01,120.09,"Jun 3, 14",119.42,119.73,5010345,5010345,119.8386
2014-06-04,-0.25,-0.1158361018826134,-0.208,119.76,120.16,"Jun 4, 14",119.68,120.1,3861805,3861805,119.8795
2014-06-05,0.9,-0.10919158361018821,0.752,120.66,120.88,"Jun 5, 14",120.43,120.55,4183681,4183681,120.6027
2014-06-06,-0.05,-0.10956072351421181,-0.041,120.61,120.77,"Jun 6, 14",119.94,120.68,4808750,4808750,120.4287
2014-06-09,0.04,-0.10926541159099287,0.033,120.65,120.85,"Jun 9, 14",120.57,120.79,2789577,2789577,120.6977
